proposer,base,kind,level,dataset,cell_error_rate,partition,stratifier,draw,alpha,n,error_cells,coverage,acc,pi0,pi_alpha,pi_alpha_floor,n_strata,strata_certifiable,A,A_queue,R,covered,gap,empty,predicted_empty
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,2,0.2,5175,11059,0.4679,0.155,0.0,0.1094,0.1094,10,1,0.1094,0.0512,0.0412,True,-0.0,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,3,0.05,4852,11059,0.4387,0.1573,0.0041,0.123,0.1189,10,1,0.0,0.0,0.0,True,-0.1189,True,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,3,0.1,4852,11059,0.4387,0.1573,0.0041,0.123,0.1189,10,1,0.1071,0.047,0.0467,True,-0.0118,False,False
baran,beers,inner,70,beers_ni_inner70,0.45888,mondrian,column,3,0.2,4852,11059,0.4387,0.1573,0.0041,0.123,0.1189,10,1,0.119,0.0522,0.0507,True,0.0001,False,False
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,1,0.05,1082,1324,0.8172,0.6913,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,1,0.1,1082,1324,0.8172,0.6913,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,1,0.2,1082,1324,0.8172,0.6913,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,2,0.05,935,1324,0.7062,0.6203,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,2,0.1,935,1324,0.7062,0.6203,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,2,0.2,935,1324,0.7062,0.6203,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,3,0.05,1074,1324,0.8112,0.6397,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,3,0.1,1074,1324,0.8112,0.6397,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,marginal,marginal,3,0.2,1074,1324,0.8112,0.6397,0.0,0.0,0.0,1,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,1,0.05,1082,1324,0.8172,0.6913,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,1,0.1,1082,1324,0.8172,0.6913,0.0,0.1932,0.1932,6,1,0.0193,0.0158,0.0151,True,-0.1739,False,False
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,1,0.2,1082,1324,0.8172,0.6913,0.0,0.3845,0.3845,6,2,0.0773,0.0632,0.0476,True,-0.3072,False,False
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,2,0.05,935,1324,0.7062,0.6203,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
baran,flights,inner,10,flights_ni_inner10,0.09287,mondrian,column,2,0.1,935,1324,0.7062,0.6203,0.0,0.0,0.0,6,0,0.0,0.0,0.0,True,0.0,True,True
