proposer,dataset,detection,scoring,strata,alpha,delta,seeds,errors_before,n_test,edr_apply_all,edr_apply_all_min,apply_all_negative_seeds,edr_care,edr_care_min,care_negative_seeds,edr_care_table,n_auto,n_changes,fixes,breaks,still_wrong,bound_violations,bound_violations_while_covered
Baran,hospital,log,detected,mondrian,0.05,0.1,10,129,129,0.769,0.7132,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,hospital,log,detected,mondrian,0.1,0.1,10,129,129,0.769,0.7132,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,hospital,log,detected,mondrian,0.2,0.1,10,129,129,0.769,0.7132,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,beers,log,detected,mondrian,0.05,0.1,10,1699,1699,0.9477,0.9417,0,0.7447,0.0,0,0.3769,1301.4,1301.4,1265.2,0,36.2,0,0
Baran,beers,log,detected,mondrian,0.1,0.1,10,1699,1699,0.9477,0.9417,0,0.8278,0.8252,0,0.4189,1446,1446,1406.4,0,39.6,0,0
Baran,beers,log,detected,mondrian,0.2,0.1,10,1699,1699,0.9477,0.9417,0,0.9184,0.9158,0,0.4648,1600,1600,1560.4,0,39.6,0,0
Baran,flights,log,detected,mondrian,0.05,0.1,10,1660.4,1677,0.9113,0.9029,0,0.3181,0.3171,0,0.1074,531,531,528.2,0,2.8,0,0
Baran,flights,log,detected,mondrian,0.1,0.1,10,1660.4,1677,0.9113,0.9029,0,0.6659,0.662,0,0.2247,1141,1137.5,1111.5,5.9,20.1,0,0
Baran,flights,log,detected,mondrian,0.2,0.1,10,1660.4,1677,0.9113,0.9029,0,0.6659,0.662,0,0.2247,1141,1137.5,1111.5,5.9,20.1,0,0
Baran,rayyan,log,detected,mondrian,0.05,0.1,10,229.5,242,0.6989,0.684,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,rayyan,log,detected,mondrian,0.1,0.1,10,229.5,242,0.6989,0.684,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,rayyan,log,detected,mondrian,0.2,0.1,10,229.5,242,0.6989,0.684,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Baran,tax,log,detected,mondrian,0.05,0.1,10,55664,55664,0.9391,0.9391,0,0.9391,0.9391,0,0.4312,52275,52275,52275,0,0,0,0
Baran,tax,log,detected,mondrian,0.1,0.1,10,55664,55664,0.9391,0.9391,0,0.9391,0.9391,0,0.4312,52275,52275,52275,0,0,0,0
Baran,tax,log,detected,mondrian,0.2,0.1,10,55664,55664,0.9391,0.9391,0,0.9391,0.9391,0,0.4312,52275,52275,52275,0,0,0,0
BClean,hospital,log,detected,mondrian_src,0.05,0.1,10,118.4,119,0.777,0.7731,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
BClean,hospital,log,detected,mondrian_src,0.1,0.1,10,118.4,119,0.777,0.7731,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
BClean,hospital,log,detected,mondrian_src,0.2,0.1,10,118.4,119,0.777,0.7731,0,0.625,0.6218,0,0.1454,74,74,74,0,0,0,0
BClean,beers,log,detected,mondrian_src,0.05,0.1,10,1621.6,1626,0.606,0.5964,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
BClean,beers,log,detected,mondrian_src,0.1,0.1,10,1621.6,1626,0.606,0.5964,0,0.0611,0.061,0,0.0295,99,99,99,0,0,0,0
BClean,beers,log,detected,mondrian_src,0.2,0.1,10,1621.6,1626,0.606,0.5964,0,0.0741,0.061,0,0.0358,124.4,124.4,120.1,0,4.3,0,0
BClean,flights,log,detected,mondrian_src,0.05,0.1,10,1596.3,1756,0.2635,0.2535,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
BClean,flights,log,detected,mondrian_src,0.1,0.1,10,1596.3,1756,0.2635,0.2535,0,0.0908,0.0903,0,0.0295,146,146,144.9,0,1.1,0,0
BClean,flights,log,detected,mondrian_src,0.2,0.1,10,1596.3,1756,0.2635,0.2535,0,0.1453,0.0914,0,0.0472,239.3,239.3,232,0,7.3,0,0
Jellyfish,hospital,log,detected,mondrian,0.05,0.1,10,138.2,150,0.5021,0.4815,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,hospital,log,detected,mondrian,0.1,0.1,10,138.2,150,0.5021,0.4815,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,hospital,log,detected,mondrian,0.2,0.1,10,138.2,150,0.5021,0.4815,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,beers,log,detected,mondrian,0.05,0.1,10,1698.6,2132,-0.1686,-0.1718,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,beers,log,detected,mondrian,0.1,0.1,10,1698.6,2132,-0.1686,-0.1718,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
Jellyfish,beers,log,detected,mondrian,0.2,0.1,10,1698.6,2132,-0.1686,-0.1718,10,0.0448,0.0447,0,0.0227,77,77,76.1,0,0.9,0,0
Jellyfish,flights,log,detected,mondrian,0.05,0.1,10,2238.6,2394,-0.0144,-0.0184,10,0.0,0.0,0,0.0,0,0,0,0,0,0,0
